geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04370	VEGF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04370+5881+5605+6714+5829+207+5579+572+5578+842+4773+3845+9261+5894+5880+998+10000+5295	0.6354058069310691	1.981438487219972	0	0.0010021270443589755	41	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04370.png	17	5881;5605;6714;5829;207;5579;572;5578;842;4773;3845;9261;5894;5880;998;10000;5295	AKT1;AKT3;BAD;CASP9;CDC42;KRAS;MAP2K2;MAPKAPK2;NFATC2;PIK3R1;PRKCA;PRKCB;PXN;RAC2;RAC3;RAF1;SRC
hsa04724	Glutamatergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04724+2891+6505+2900+116444+2788+115+5579+5578+94235+5331+2752+59345+2793+85358+2911+1742+8681+2783+2782+3710+2744+5594+23236	0.5785351482316552	1.8527908626322458	0.0011547344097520389	0.021044667931538485	45	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04724.png	23	2891;6505;2900;116444;2788;115;5579;5578;94235;5331;2752;59345;2793;85358;2911;1742;8681;2783;2782;3710;2744;5594;23236	ADCY9;DLG4;GLS;GLUL;GNB1;GNB2;GNB4;GNG7;GNG8;GNGT2;GRIA2;GRIK4;GRIN3B;GRM1;ITPR3;JMJD7-PLA2G4B;MAPK1;PLCB1;PLCB3;PRKCA;PRKCB;SHANK3;SLC1A1
hsa04520	Adherens junction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04520+5881+6714+10810+87+5797+1387+83439+4008+1459+3643+5880+998+2033+8826	0.5895989782246913	1.8099486845425181	0	0.027057430197692335	40	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04520.png	14	5881;6714;10810;87;5797;1387;83439;4008;1459;3643;5880;998;2033;8826	ACTN1;CDC42;CREBBP;CSNK2A2;EP300;INSR;IQGAP1;LMO7;PTPRM;RAC2;RAC3;SRC;TCF7L1;WASF3
hsa04014	Ras signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04014+1944+5881+5155+4763+5605+1950+2788+207+5579+572+5970+7423+5058+5578+2321+94235+2261+27006+3845+59345+3643+2793+5894+5880+998+1147+10000+5154+2254+5228+5295+7424+10125+801+6655+8681+5899+5599+2783+2323+2782+2885+5601+5062+5594+29110+5966+10235+5335+5863+598	0.4728693969189844	1.6649632969318042	0	0.06805353655783224	132	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04014.png	51	1944;5881;5155;4763;5605;1950;2788;207;5579;572;5970;7423;5058;5578;2321;94235;2261;27006;3845;59345;3643;2793;5894;5880;998;1147;10000;5154;2254;5228;5295;7424;10125;801;6655;8681;5899;5599;2783;2323;2782;2885;5601;5062;5594;29110;5966;10235;5335;5863;598	AKT1;AKT3;BAD;BCL2L1;CALM1;CDC42;CHUK;EFNA3;EGF;FGF22;FGF9;FGFR3;FLT1;FLT3LG;GNB1;GNB2;GNB4;GNG7;GNG8;GNGT2;GRB2;INSR;JMJD7-PLA2G4B;KRAS;MAP2K2;MAPK1;MAPK8;MAPK9;NF1;PAK1;PAK2;PDGFA;PDGFB;PGF;PIK3R1;PLCG1;PRKCA;PRKCB;RAC2;RAC3;RAF1;RALB;RASGRP1;RASGRP2;REL;RELA;RGL2;SOS2;TBK1;VEGFB;VEGFC
hsa04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04510+93408+5881+5155+5499+6714+5829+3909+1950+207+1278+5579+87+572+7423+5058+5578+2321+7057+3912+5894+22801+5880+998+10000+3674+5154+5228+5295+3693+7424+7408+23396+6655+1291+5599+5501+3678+3915+5747+2885+5601+5062+5594+3655+858+824	0.47484900840652733	1.6683115252966612	0	0.07125123285392315	111	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04510.png	46	93408;5881;5155;5499;6714;5829;3909;1950;207;1278;5579;87;572;7423;5058;5578;2321;7057;3912;5894;22801;5880;998;10000;3674;5154;5228;5295;3693;7424;7408;23396;6655;1291;5599;5501;3678;3915;5747;2885;5601;5062;5594;3655;858;824	ACTN1;AKT1;AKT3;BAD;CAPN2;CAV2;CDC42;COL1A2;COL6A1;EGF;FLT1;GRB2;ITGA11;ITGA2B;ITGA5;ITGA6;ITGB5;LAMA3;LAMB1;LAMC1;MAPK1;MAPK8;MAPK9;MYL10;PAK1;PAK2;PDGFA;PDGFB;PGF;PIK3R1;PIP5K1C;PPP1CA;PPP1CC;PRKCA;PRKCB;PTK2;PXN;RAC2;RAC3;RAF1;SOS2;SRC;THBS1;VASP;VEGFB;VEGFC
hsa05218	Melanoma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05218+5155+5605+1950+207+581+572+27006+3845+5894+10000+5154+4193+2254+5295	0.5350104252984268	1.6736199715328717	0.0011428571415510204	0.0731552742382052	47	./Project_IK_24_vs_C_24_gsea_GSEA/hsa05218.png	14	5155;5605;1950;207;581;572;27006;3845;5894;10000;5154;4193;2254;5295	AKT1;AKT3;BAD;BAX;EGF;FGF22;FGF9;KRAS;MAP2K2;MDM2;PDGFA;PDGFB;PIK3R1;RAF1
hsa04540	Gap junction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04540+5155+5605+6714+2767+1950+115+5579+5578+5331+3845+5894+5154+203068+84790+2911+6655+5607+3710+2885+84617+5594+23236+5604+3358+3709+1453+109	0.5212279145416484	1.6520790945356565	0.002280501707775939	0.07549357067504281	49	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04540.png	27	5155;5605;6714;2767;1950;115;5579;5578;5331;3845;5894;5154;203068;84790;2911;6655;5607;3710;2885;84617;5594;23236;5604;3358;3709;1453;109	ADCY3;ADCY9;CSNK1D;EGF;GNA11;GRB2;GRM1;HTR2C;ITPR2;ITPR3;KRAS;MAP2K1;MAP2K2;MAP2K5;MAPK1;PDGFA;PDGFB;PLCB1;PLCB3;PRKCA;PRKCB;RAF1;SOS2;SRC;TUBA1C;TUBB;TUBB6
hsa05231	Choline metabolism in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05231+5881+5155+5605+1950+10810+207+5579+1609+5578+3845+8527+5894+5880+10000+5154+23446+5295+56994+23396+7249+6655+8681+5599+2885+5601+5594	0.5068992183111372	1.6779426554588512	0.0011123470510429954	0.07866697298217958	63	./Project_IK_24_vs_C_24_gsea_GSEA/hsa05231.png	26	5881;5155;5605;1950;10810;207;5579;1609;5578;3845;8527;5894;5880;10000;5154;23446;5295;56994;23396;7249;6655;8681;5599;2885;5601;5594	AKT1;AKT3;CHPT1;DGKD;DGKQ;EGF;GRB2;JMJD7-PLA2G4B;KRAS;MAP2K2;MAPK1;MAPK8;MAPK9;PDGFA;PDGFB;PIK3R1;PIP5K1C;PRKCA;PRKCB;RAC2;RAC3;RAF1;SLC44A1;SOS2;TSC2;WASF3
hsa05213	Endometrial cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05213+5605+1950+8313+207+581+8312+572+83439+842+3845+5894+10000+5295	0.5503327920309343	1.684033297454539	0.0011520737313916202	0.08374918870714294	41	./Project_IK_24_vs_C_24_gsea_GSEA/hsa05213.png	13	5605;1950;8313;207;581;8312;572;83439;842;3845;5894;10000;5295	AKT1;AKT3;AXIN1;AXIN2;BAD;BAX;CASP9;EGF;KRAS;MAP2K2;PIK3R1;RAF1;TCF7L1
hsa04015	Rap1 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04015+1944+5881+5155+5605+6714+1950+115+207+5579+5606+7423+5578+2321+7057+2261+5331+84552+27006+3845+3643+5894+5880+998+10000+3674+5154+2254+5228+5295+5217+7424+7408+9855+801+5899+64411+84612	0.48293776953567946	1.7064267046627868	0	0.0857820749971283	121	./Project_IK_24_vs_C_24_gsea_GSEA/hsa04015.png	37	1944;5881;5155;5605;6714;1950;115;207;5579;5606;7423;5578;2321;7057;2261;5331;84552;27006;3845;3643;5894;5880;998;10000;3674;5154;2254;5228;5295;5217;7424;7408;9855;801;5899;64411;84612	ADCY9;AKT1;AKT3;ARAP3;CALM1;CDC42;EFNA3;EGF;FARP2;FGF22;FGF9;FGFR3;FLT1;INSR;ITGA2B;KRAS;MAP2K2;MAP2K3;PARD6B;PARD6G;PDGFA;PDGFB;PFN2;PGF;PIK3R1;PLCB3;PRKCA;PRKCB;RAC2;RAC3;RAF1;RALB;SRC;THBS1;VASP;VEGFB;VEGFC
