TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	932687.5	913262.5	942725.4
2000000.0	1812169.0	1774901.4	1831439.1
3000000.0	2662174.5	2608027.5	2690377.5
4000000.0	3490676.0	3420280.4	3527489.4
5000000.0	4301700.0	4215572.0	4346881.8
6000000.0	5097704.0	4996273.2	5151018.3
7000000.0	5880327.5	5763999.8	5941573.1
8000000.0	6650764.0	6519903.4	6719742.1
9000000.0	7409917.5	7264868.1	7486437.5
10000000.0	8158495.5	7999581.8	8242394.8
11000000.0	8897078.0	8724611.9	8988190.9
12000000.0	9626152.0	9440425.9	9724309.3
13000000.0	10346122.5	10147420.0	10451162.6
14000000.0	11057343.5	10845942.1	11169121.5
15000000.0	11760131.0	11536289.9	11878485.2
16000000.0	12454758.5	12218738.9	12579548.2
17000000.0	13141477.5	12893525.9	13272556.0
18000000.0	13820511.0	13560869.3	13957742.1
19000000.0	14492067.5	14220971.7	14635313.3
20000000.0	15156335.5	14874016.7	15305467.9
21000000.0	15813494.0	15520172.6	15968380.8
22000000.0	16463703.5	16159602.5	16624223.4
23000000.0	17107123.0	16792450.9	17273150.8
24000000.0	17743895.5	17418861.3	17915310.9
25000000.0	18374157.5	18038964.3	18550845.9
26000000.0	18998039.5	18652886.3	19179887.1
27000000.0	19615667.5	19260746.8	19802561.2
28000000.0	20227156.5	19862656.8	20418988.1
29000000.0	20832621.0	20458728.9	21029283.8
30000000.0	21432168.0	21049063.9	21633560.2
31000000.0	22025904.0	21633764.5	22231920.0
32000000.0	22613925.0	22212925.1	22824469.9
33000000.0	23196332.0	22786638.9	23411306.7
34000000.0	23773215.9	23354996.2	23992525.5
35000000.0	24344667.0	23918082.7	24568221.6
36000000.0	24910772.2	24475982.1	25138485.0
37000000.0	25471616.0	25028775.4	25703398.3
38000000.0	26027280.3	25576541.3	26263045.6
39000000.0	26577844.5	26119355.9	26817508.0
40000000.0	27123386.0	26657293.6	27366864.8
41000000.0	27663979.8	27190426.5	27911192.8
42000000.0	28199699.1	27718824.7	28450567.0
43000000.0	28730615.0	28242556.6	28985060.2
44000000.0	29256796.8	28761688.9	29514743.7
45000000.0	29778312.1	29276286.6	30039686.7
46000000.0	30295174.7	29786413.1	30559956.7
