TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	900075.5	885187.5	908212.9
2000000.0	1730197.0	1702189.2	1745707.3
3000000.0	2527957.0	2487410.4	2550445.7
4000000.0	3304049.0	3251287.8	3333219.7
5000000.0	4063568.0	3998868.4	4099211.3
6000000.0	4809439.5	4733096.8	4851436.4
7000000.0	5543605.5	5455884.8	5591924.5
8000000.0	6267434.0	6168571.2	6321995.3
9000000.0	6981950.5	6872125.0	7042625.9
10000000.0	7687895.0	7567314.0	7754602.7
11000000.0	8385881.5	8254711.6	8458513.7
12000000.0	9076382.5	8934804.6	9154850.0
13000000.0	9759809.5	9607984.4	9844018.6
14000000.0	10436487.0	10274579.4	10526357.3
15000000.0	11106713.5	10934879.7	11202154.6
16000000.0	11770729.0	11589120.6	11871662.1
17000000.0	12428753.0	12237520.8	12535097.7
18000000.0	13080983.0	12880269.4	13192653.4
19000000.0	13727580.0	13517537.3	13844506.1
20000000.0	14368708.5	14149476.4	14490814.7
21000000.0	15004510.5	14776215.8	15131716.0
22000000.0	15635108.5	15397890.9	15767342.0
23000000.0	16260619.5	16014617.1	16397815.7
24000000.0	16881164.5	16626496.0	17023239.0
25000000.0	17496830.5	17233627.2	17643728.2
26000000.0	18107716.5	17836108.6	18259368.6
27000000.0	18713921.5	18434025.0	18870251.9
28000000.0	19315517.5	19027461.6	19476466.4
29000000.0	19912587.0	19616485.0	20078094.3
30000000.0	20505206.5	20201180.2	20675205.2
31000000.0	21093450.0	20781608.1	21267875.6
32000000.0	21677379.0	21357839.3	21856173.3
33000000.0	22257064.0	21929936.2	22440165.2
34000000.0	22832567.0	22497960.9	23019911.0
35000000.0	23403943.5	23061967.9	23595478.3
36000000.0	23971253.5	23622016.1	24166920.5
37000000.0	24534554.0	24178158.1	24734294.2
38000000.0	25093893.5	24730445.1	25297652.5
39000000.0	25649327.5	25278926.1	25857052.3
40000000.0	26200905.0	25823652.1	26412540.4
41000000.0	26748674.5	26364668.5	26964165.6
42000000.0	27292681.5	26902023.0	27511979.4
43000000.0	27832974.5	27435756.8	28056025.1
44000000.0	28369595.0	27965913.3	28596347.8
45000000.0	28902587.5	28492534.5	29132992.6
46000000.0	29431993.5	29015663.0	29666001.8
47000000.0	29957854.0	29535334.6	30195416.0
48000000.0	30480209.0	30051590.4	30721277.7
49000000.0	30999098.0	30564469.0	31243625.0
50000000.0	31514560.0	31074006.2	31762496.8
51000000.0	32026633.5	31580236.1	32277931.6
52000000.0	32535352.5	32083197.8	32789966.9
53000000.0	33040750.0	32582922.1	33298638.7
54000000.0	33542863.5	33079444.6	33803982.0
55000000.0	34041728.0	33572798.9	34306031.9
56000000.0	34537375.5	34063015.2	34804822.3
57000000.0	35029837.5	34550128.3	35300387.6
58000000.0	35519149.5	35034167.0	35792759.7
59000000.0	36005341.5	35515163.0	36281970.1
60000000.0	36488444.5	35993146.1	36768053.0
61000000.0	36968487.8	36468144.4	37251037.2
62000000.0	37445504.5	36940190.0	37730955.1
63000000.0	37919522.5	37409308.7	38207836.0
64000000.0	38390570.8	37875530.5	38681709.3
65000000.0	38858677.9	38338882.1	39152604.2
66000000.0	39323872.0	38799390.7	39620549.1
67000000.0	39786180.6	39257082.8	40085572.4
68000000.0	40245630.9	39711984.9	40547701.7
69000000.0	40702249.8	40164122.8	41006964.2
70000000.0	41156063.5	40613521.9	41463386.8
71000000.0	41607098.0	41060207.4	41916996.0
72000000.0	42055379.0	41504203.9	42367817.8
