TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	962959.5	954085.1	967284.5
2000000.0	1891875.5	1874491.2	1900274.7
3000000.0	2800808.0	2775212.1	2813186.7
4000000.0	3694747.5	3661064.1	3710944.9
5000000.0	4576135.0	4534583.1	4596136.7
6000000.0	5446595.5	5397313.3	5470355.1
7000000.0	6307222.0	6250343.7	6334665.1
8000000.0	7158782.5	7094438.2	7189850.5
9000000.0	8001877.5	7930197.0	8036523.8
10000000.0	8837003.5	8758093.1	8875154.5
11000000.0	9664524.0	9578496.6	9706133.6
12000000.0	10484764.0	10391730.9	10529778.8
13000000.0	11297998.5	11198012.9	11346368.9
14000000.0	12104468.5	11997619.4	12156150.1
15000000.0	12904372.5	12790767.3	12959306.9
16000000.0	13697899.5	13577627.5	13756043.2
17000000.0	14485200.5	14358348.1	14546510.7
18000000.0	15266433.5	15133092.5	15330861.2
19000000.0	16041724.0	15901988.6	16109232.5
20000000.0	16811203.5	16665156.3	16881740.1
21000000.0	17574999.5	17422708.1	17648501.9
22000000.0	18333200.0	18174743.2	18409626.3
23000000.0	19085902.0	18921363.4	19165215.4
24000000.0	19833197.5	19662664.0	19915356.0
25000000.0	20575175.0	20398721.0	20660138.0
26000000.0	21311914.0	21129619.5	21399645.2
27000000.0	22043495.0	21855441.2	22133949.9
28000000.0	22769991.5	22576249.7	22863136.8
29000000.0	23491475.0	23292123.7	23587289.5
30000000.0	24208013.5	24003128.9	24306461.9
31000000.0	24919670.5	24709324.0	25020720.7
32000000.0	25626513.0	25410776.5	25730130.6
33000000.0	26328597.0	26107542.7	26434744.5
34000000.0	27025983.5	26799683.1	27134629.8
35000000.0	27718728.0	27487248.2	27829839.2
36000000.0	28406887.5	28170298.4	28520428.6
37000000.0	29090512.0	28848880.7	29206453.4
38000000.0	29769656.0	29523045.9	29887963.3
39000000.0	30444369.0	30192849.2	30565010.7
40000000.0	31114696.0	30858329.6	31237642.5
41000000.0	31780691.5	31519543.8	31905910.9
42000000.0	32442396.0	32176530.2	32569857.8
43000000.0	33099857.5	32829333.5	33229530.1
44000000.0	33753120.0	33478001.4	33884976.5
45000000.0	34402228.0	34122573.8	34536237.4
46000000.0	35047222.0	34763091.2	35183354.2
47000000.0	35688144.0	35399596.6	35826371.6
48000000.0	36325036.5	36032129.5	36465328.0
49000000.0	36957937.5	36660729.5	37100266.9
50000000.0	37586883.5	37285432.4	37731224.8
51000000.0	38211919.5	37906277.4	38358241.1
52000000.0	38833077.0	38523302.5	38981354.5
53000000.0	39450396.5	39136542.4	39600601.9
54000000.0	40063912.5	39746033.5	40216021.2
55000000.0	40673661.5	40351810.5	40827644.7
56000000.0	41279678.0	40953909.0	41435512.6
57000000.0	41881999.0	41552360.1	42039657.0
58000000.0	42480654.0	42147200.2	42640111.0
59000000.0	43075681.0	42738458.8	43236910.9
60000000.0	43667109.5	43326171.9	43830090.3
61000000.0	44254973.5	43910369.5	44419689.7
62000000.0	44839305.0	44491083.7	45005734.5
63000000.0	45420134.5	45068342.8	45588255.2
64000000.0	45997494.5	45642180.0	46167281.4
65000000.0	46571413.5	46212623.2	46742846.4
66000000.0	47141923.7	46779704.1	47314979.2
67000000.0	47709053.9	47343450.9	47883710.0
68000000.0	48272833.3	47903892.1	48449068.2
69000000.0	48833290.7	48461056.2	49011083.0
70000000.0	49390454.7	49014971.0	49569783.2
71000000.0	49944353.4	49565664.2	50125197.0
72000000.0	50495014.5	50113163.0	50677352.6
73000000.0	51042465.3	50657494.3	51226277.5
74000000.0	51586733.0	51198684.5	51771999.1
75000000.0	52127844.1	51736760.0	52314544.2
76000000.0	52665825.0	52271746.5	52853939.5
77000000.0	53200701.7	52803669.5	53390211.1
78000000.0	53732500.0	53332554.4	53923385.2
79000000.0	54261245.1	53858426.0	54453487.1
80000000.0	54786962.1	54381309.0	54980542.4
81000000.0	55309675.8	54901227.5	55504575.9
82000000.0	55829410.7	55418205.8	56025612.3
83000000.0	56346190.9	55932267.6	56543676.2
84000000.0	56860040.3	56443436.2	57058791.5
85000000.0	57370982.6	56951735.0	57570982.2
86000000.0	57879041.0	57457186.8	58080271.8
87000000.0	58384238.6	57959814.3	58586683.6
88000000.0	58886598.2	58459639.9	59090240.6
89000000.0	59386142.4	58956685.9	59590965.6
