TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	950998.0	937192.1	958619.8
2000000.0	1862302.0	1835409.2	1877132.4
3000000.0	2750858.5	2711313.6	2772700.3
4000000.0	3622465.0	3570589.6	3651155.7
5000000.0	4480119.5	4416194.5	4515417.7
6000000.0	5325671.5	5249942.0	5367403.6
7000000.0	6160378.0	6073066.0	6208398.3
8000000.0	6985144.5	6886472.6	7039331.5
9000000.0	7800663.5	7690838.4	7860884.5
10000000.0	8607488.0	8486698.2	8673631.4
11000000.0	9406016.5	9274486.5	9478008.3
12000000.0	10196650.0	10054564.6	10274384.2
13000000.0	10979701.0	10827244.8	11063083.2
14000000.0	11755439.5	11592782.3	11844375.1
15000000.0	12524099.0	12351413.0	12618494.9
16000000.0	13285886.5	13103336.0	13385649.4
17000000.0	14040994.5	13848736.8	14146035.1
18000000.0	14789578.5	14587779.5	14899816.3
19000000.0	15531797.5	15320609.7	15647144.9
20000000.0	16267791.5	16047365.8	16388166.0
21000000.0	16997688.5	16768171.3	17123009.1
22000000.0	17721605.0	17483146.3	17851796.0
23000000.0	18439660.5	18192399.2	18574644.3
24000000.0	19151955.5	18896035.4	19291657.4
25000000.0	19858589.0	19594145.5	20002935.9
26000000.0	20559656.5	20286828.0	20708575.1
27000000.0	21255245.0	20974161.4	21408664.4
28000000.0	21945441.0	21656235.7	22103290.4
29000000.0	22630325.5	22333124.3	22792537.5
30000000.0	23309974.5	23004903.4	23476480.9
31000000.0	23984464.5	23671649.1	24155200.5
32000000.0	24653863.5	24333427.9	24828766.1
33000000.0	25318247.5	24990307.4	25497249.2
34000000.0	25977677.0	25642353.8	26160714.7
35000000.0	26632219.0	26289627.0	26819233.1
36000000.0	27281935.0	26932192.2	27472866.4
37000000.0	27926886.5	27570101.5	28121675.2
38000000.0	28567134.0	28203418.1	28765718.4
39000000.0	29202731.0	28832196.2	29405057.5
40000000.0	29833737.0	29456488.0	30039746.1
41000000.0	30460205.5	30076347.1	30669840.0
42000000.0	31082189.5	30691824.5	31295408.8
43000000.0	31699739.0	31302972.7	31916491.8
