Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	C0_R1.raw	C0_R2.raw	C1_R1.raw	C1_R2.raw	C0_R1.pseudo	C0_R2.pseudo	C1_R1.pseudo	C1_R2.pseudo
Interval_13	chr1	733420	734394	+	975	32.4858219904332	2.32847812131163	0.578093613118839	4.02785650709648	5.62876780424569e-05	0.000862377242422365	3	8	15	28	3.40928983578622	4.91305838102741	20.5796457797479	22.7620771785381
Interval_14	chr1	736542	738223	+	1682	45.6784823396192	1.2585621921043	0.401390907182192	3.13550249790047	0.00171559967333818	0.0131483917816377	18	18	34	34	20.4557390147173	11.0543813573117	46.6471971007618	27.6396651453677
Interval_18	chr1	867441	867970	+	530	40.697659160169	1.91753241477023	0.405718022044918	4.72626876446206	2.28682931113859e-06	5.98145732660482e-05	13	24	31	82	14.773589288407	14.7391751430822	42.5312679448122	66.6603688800044
Interval_23	chr1	966124	967269	+	1146	130.3813781359	1.08091909481225	0.236278519494698	4.57476666572945	4.76751021313495e-06	0.000110658550122409	54	134	117	183	61.367217044152	82.293727882209	160.521237082033	148.766432988302
Interval_27	chr1	1019188	1022088	+	2901	357.086761327185	0.91163540066086	0.213456569293918	4.27082381992933	1.94752217311676e-05	0.000357906258030419	167	322	275	439	189.783800858766	197.750599836353	377.293505962044	356.876852906365
Interval_28	chr1	1032307	1033505	+	1199	89.2822120546785	0.901407558909189	0.283302637008483	3.18178315750092	0.00146371363222616	0.0116292585521111	41	93	69	123	46.593627755745	57.1143036794436	94.6663705868402	99.9905533200065
Interval_31	chr1	1063936	1064606	+	671	149.554964260009	1.56764029534489	0.241862626763146	6.48153175347781	9.07960537793859e-11	9.12116929974213e-09	71	104	136	285	80.6865261136073	63.8697589533563	186.588788403047	231.685428424405
Interval_32	chr1	1069184	1070503	+	1320	186.975332774085	1.05945719654952	0.212662415928986	4.98187322814626	6.29716860247379e-07	1.99858397478513e-05	106	196	144	370	120.46157419778	120.369930335171	197.564599485579	300.784591287825
Interval_40	chr1	1201004	1201856	+	853	187.13569409307	2.48279858592045	0.222342195269672	11.1665650458705	5.94350990972797e-29	1.28370429560793e-25	61	80	245	383	69.3222266609865	49.1305838102741	336.134214402548	311.352698549289
Interval_41	chr1	1208041	1209352	+	1312	114.809887635458	1.46303175653541	0.230670786802737	6.34250993293986	2.26051629969212e-10	2.04778824261513e-08	57	103	118	232	64.7765068799382	63.2556266557278	161.89321346735	188.600068050744
Interval_42	chr1	1212935	1215355	+	2421	98.2034496285991	1.49948397668912	0.252182625583733	5.94602412921284	2.74733666661677e-09	1.84069313939514e-07	54	93	110	222	61.367217044152	57.1143036794436	150.917402384818	180.470754772695
Interval_47	chr1	1281803	1283352	+	1550	100.363018140421	1.10150494645117	0.3131295896213	3.51772870709322	0.000435257097474746	0.00446932203404758	54	77	67	163	61.367217044152	47.2881869173888	91.9224178162071	132.507806432204
Interval_51	chr1	1344612	1345613	+	1002	113.408079401352	2.34878659757177	0.270023944485485	8.69843821460815	3.36482930434372e-18	1.80500000212226e-15	28	58	105	245	31.8200384673381	35.6196732624487	144.057520458235	199.168175312208
Interval_56	chr1	1433388	1435887	+	2500	84.2585414886644	0.939285704422103	0.280417827272885	3.34959340337535	0.000809302641986355	0.00731930634031825	66	89	88	150	75.0043763872969	54.6577744889299	120.733921907854	121.93969917074
Interval_82	chr1	1919101	1919979	+	879	354.628484769174	0.493868265124507	0.172072749442591	2.8701131743657	0.00410324907208845	0.025713527093425	252	456	335	433	286.380346206043	280.044327718562	459.612089081036	351.999264939535
Interval_92	chr1	2180299	2180842	+	544	32.5136484304149	1.42693377177772	0.424823939073587	3.35888268182211	0.000782582831950324	0.00712950420129769	10	29	27	54	11.3642994526207	17.8098366312243	37.0433624035462	43.8982917014663
Interval_97	chr1	2212519	2213646	+	1128	125.407555030404	0.716137855053337	0.262037598742975	2.73295839409586	0.00627682606904629	0.0354259539809452	70	182	107	207	79.5500961683452	111.772078168373	146.801473228868	168.276784855621
Interval_99	chr1	2234116	2235025	+	910	152.185255462645	-1.28685632686998	0.252886934659827	-5.08866275990498	3.60597217762142e-07	1.24770893973904e-05	195	421	77	115	221.603839326104	258.549697301567	105.642181669372	93.4871026975671
Interval_150	chr1	6055976	6057031	+	1056	208.291674021975	-1.22249285557504	0.209739228550314	-5.82863236422066	5.58834622123252e-09	3.38492935617297e-07	257	602	103	176	292.062495932353	369.707643172312	141.313567687602	143.075913693668
Interval_152	chr1	6099528	6101926	+	2399	48.487326228695	-1.0991448098578	0.327256241300593	-3.35866721896438	0.000783193203520563	0.00713268963445924	66	140	35	38	75.0043763872969	85.9785216679796	48.0191734860783	30.8913904565874
Interval_153	chr1	6108954	6109771	+	818	34.7002967862566	-1.05189974587751	0.368404288245186	-2.85528637814725	0.00429980380352714	0.0266160417354768	46	84	18	31	52.2757774820554	51.5871130007878	24.6955749356974	25.2008711619529
Interval_162	chr1	6259753	6261538	+	1786	96.153851684785	0.956214597655289	0.264741815898543	3.61187594944102	0.000303989983219707	0.0033476014870219	59	131	111	169	67.0493667704624	80.4513309893238	152.289378770134	137.385394399033
Interval_163	chr1	6273240	6273921	+	682	23.6272315602506	2.50645062481513	0.466872903213094	5.36859305298153	7.93532457124109e-08	3.41881274992148e-06	13	14	38	90	14.773589288407	8.59785216679796	52.1351026420279	73.1638195024438
Interval_175	chr1	6502035	6502865	+	831	48.3874142042357	-1.07149184967822	0.350299608066479	-3.05878689271863	0.00222235176036111	0.0160562311149326	70	171	21	72	79.5500961683452	105.016622894461	28.811504091647	58.531055601955
Interval_185	chr1	6753261	6754108	+	848	49.1337725779829	1.18379259210537	0.380434307340126	3.11168727232321	0.00186021444435025	0.014012044815125	10	37	29	52	11.3642994526207	22.7228950122518	39.7873151741792	42.2724290458564
Interval_193	chr1	7470851	7471526	+	676	30.8267108129493	1.31903681529433	0.426431339435924	3.0931985839482	0.00198011585338525	0.0146953638259102	15	23	35	38	17.0464491789311	14.1250428454538	48.0191734860783	30.8913904565874
Interval_204	chr1	7920448	7921123	+	676	39.311369027036	1.68697636379652	0.390761966777228	4.31714574913647	1.58059795223277e-05	0.000301337970572711	12	29	41	59	13.6371593431449	17.8098366312243	56.2510317979775	47.9629483404909
Interval_205	chr1	7940480	7943438	+	2959	188.25401969651	0.798675660458688	0.213583324366942	3.73941019424598	0.000184452529213458	0.00224277879743191	111	249	171	309	126.14372392409	152.918942109478	234.607961889126	251.195780291724
Interval_213	chr1	8089605	8090935	+	1331	39.7721938623973	1.80121744002131	0.382640036596117	4.70734180365587	2.50967904282456e-06	6.48141591443622e-05	14	29	34	86	15.910019233669	17.8098366312243	46.6471971007618	69.9120941912241
Interval_214	chr1	8094506	8095156	+	651	64.313125596807	0.976935002018069	0.332964078987017	2.93405524400775	0.00334564654628702	0.0219848354395485	29	70	52	98	32.9564684126002	42.9892608339898	71.3427720364593	79.6672701248833
