## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[IK24_R1.sorted.bam] OUTPUT=IK24_R1.mLb.mkD.sorted.bam METRICS_FILE=IK24_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:33:50 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IK24_R1_T1	65408	36357991	0	592292	36746	12587977	389587	0.346417	40201638
IK24_R1_T2	65833	29212831	0	636425	34216	10002781	373458	0.34261	32914635

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	34221868	0	34665714
2.0	6393820	702483	6111153
3.0	1236567	24736	1118370
4.0	330305	2284	300563
5.0	150676	539	144159
6.0	97238	190	95397
7.0	72250	70	71450
8.0	56392	42	55966
9.0	45353	17	44961
10.0	37600	5	37219
11.0	31581	5	31356
12.0	26872	1	26719
13.0	23059	2	22873
14.0	19983	1	19770
15.0	17731	1	17630
16.0	15662	0	15600
17.0	13785	0	13588
18.0	12387	0	12347
19.0	11187	0	11018
20.0	9889	0	9775
21.0	8999	0	8978
22.0	8326	0	8331
23.0	7583	0	7464
24.0	7032	1	6961
25.0	6422	0	6420
26.0	5892	0	5840
27.0	5380	0	5295
28.0	5042	0	5017
29.0	4686	0	4634
30.0	4409	0	4415
31.0	4118	0	4034
32.0	3817	0	3769
33.0	3474	0	3473
34.0	3328	0	3319
35.0	3171	0	3090
36.0	2961	0	2927
37.0	2718	0	2742
38.0	2633	0	2564
39.0	2400	0	2416
40.0	2330	0	2251
41.0	2085	0	2076
42.0	2065	1	2042
43.0	1988	0	2026
44.0	1951	0	1866
45.0	1725	0	1777
46.0	1702	0	1613
47.0	1626	0	1630
48.0	1509	0	1517
49.0	1435	0	1414
50.0	1423	0	1422
51.0	1361	0	1347
52.0	1296	0	1289
53.0	1320	0	1267
54.0	1197	0	1201
55.0	1053	0	1056
56.0	1064	0	1021
57.0	1015	0	1044
58.0	1011	0	984
59.0	958	0	967
60.0	930	0	943
61.0	843	0	816
62.0	858	1	852
63.0	835	0	801
64.0	777	0	761
65.0	764	0	764
66.0	761	0	738
67.0	673	0	701
68.0	685	0	639
69.0	652	0	679
70.0	667	0	667
71.0	616	0	609
72.0	605	0	573
73.0	582	0	592
74.0	538	0	515
75.0	528	0	526
76.0	493	0	489
77.0	478	0	493
78.0	493	0	496
79.0	478	0	459
80.0	500	0	486
81.0	407	0	382
82.0	410	0	459
83.0	443	0	385
84.0	393	0	401
85.0	376	0	403
86.0	400	0	376
87.0	344	0	351
88.0	364	0	342
89.0	325	0	331
90.0	357	0	359
91.0	314	0	288
92.0	310	0	307
93.0	320	0	324
94.0	293	0	285
95.0	291	0	286
96.0	259	0	270
97.0	285	0	281
98.0	272	0	275
99.0	265	0	241
100.0	261	0	257
101.0	234	0	218
102.0	218	0	223
103.0	216	0	210
104.0	201	0	230
105.0	245	0	245
106.0	253	0	213
107.0	210	0	219
108.0	209	0	210
109.0	212	0	213
110.0	229	0	225
111.0	188	0	183
112.0	194	0	190
113.0	180	0	168
114.0	176	0	191
115.0	191	0	197
116.0	173	0	188
117.0	177	0	169
118.0	201	0	178
119.0	168	0	153
120.0	158	0	163
121.0	161	0	169
122.0	146	0	150
123.0	158	0	153
124.0	140	0	151
125.0	163	0	130
126.0	131	0	138
127.0	138	0	159
128.0	148	0	129
129.0	127	0	143
130.0	153	0	125
131.0	122	0	130
132.0	130	0	108
133.0	96	0	105
134.0	103	0	103
135.0	90	0	97
136.0	130	0	110
137.0	98	0	110
138.0	101	0	115
139.0	107	0	104
140.0	104	0	85
141.0	97	0	105
142.0	90	0	108
143.0	109	0	79
144.0	81	0	79
145.0	80	0	82
146.0	92	0	86
147.0	83	0	88
148.0	74	0	82
149.0	90	0	71
150.0	71	0	71
151.0	83	0	79
152.0	71	0	68
153.0	70	0	91
154.0	83	0	82
155.0	91	0	63
156.0	64	0	72
157.0	60	0	62
158.0	65	0	62
159.0	63	0	63
160.0	59	0	51
161.0	68	0	86
162.0	69	0	67
163.0	77	0	78
164.0	60	0	72
165.0	86	0	67
166.0	59	0	66
167.0	62	0	56
168.0	57	0	62
169.0	59	0	54
170.0	64	0	52
171.0	55	0	62
172.0	53	0	50
173.0	59	0	49
174.0	46	0	44
175.0	48	0	68
176.0	64	0	61
177.0	52	0	49
178.0	56	0	49
179.0	44	0	55
