## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[IK1_R2.sorted.bam] OUTPUT=IK1_R2.mLb.mkD.sorted.bam METRICS_FILE=IK1_R2.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:30:53 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IK1_R2_T1	92159	33189243	0	2290947	42176	10738725	389405	0.323746	40344187
IK1_R2_T2	68619	26465345	0	1750565	30673	8276737	299832	0.312913	33657478

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	32363428	0	32771747
2.0	6099096	639931	5839890
3.0	1193813	20666	1085794
4.0	315155	1614	286628
5.0	136603	319	130131
6.0	86239	102	84301
7.0	62736	41	62054
8.0	48349	22	48033
9.0	38905	8	38573
10.0	31931	4	31622
11.0	26520	2	26228
12.0	22568	1	22452
13.0	18942	2	18745
14.0	16302	0	16200
15.0	14616	0	14402
16.0	12678	1	12621
17.0	11195	0	11188
18.0	10077	0	9877
19.0	8833	0	8784
20.0	7969	0	7855
21.0	7300	0	7262
22.0	6564	0	6484
23.0	5917	1	5908
24.0	5328	0	5289
25.0	5037	0	4965
26.0	4545	0	4526
27.0	4250	0	4205
28.0	3852	0	3770
29.0	3560	0	3560
30.0	3300	0	3272
31.0	3051	0	3025
32.0	2844	0	2805
33.0	2716	0	2652
34.0	2512	0	2489
35.0	2334	0	2350
36.0	2161	0	2122
37.0	2052	0	1998
38.0	1907	0	1925
39.0	1787	0	1744
40.0	1639	1	1686
41.0	1638	0	1586
42.0	1506	0	1465
43.0	1380	0	1380
44.0	1380	0	1341
45.0	1274	0	1315
46.0	1206	0	1197
47.0	1193	0	1131
48.0	1092	1	1082
49.0	1043	0	1051
50.0	981	0	984
51.0	976	0	943
52.0	843	0	836
53.0	885	0	852
54.0	818	0	800
55.0	750	0	786
56.0	796	0	776
57.0	744	0	727
58.0	705	0	724
59.0	672	0	651
60.0	639	0	621
61.0	606	0	582
62.0	577	0	593
63.0	588	0	565
64.0	530	0	506
65.0	464	0	474
66.0	501	0	487
67.0	480	0	487
68.0	428	0	408
69.0	411	0	407
70.0	440	0	452
71.0	377	0	377
72.0	397	0	397
73.0	366	0	378
74.0	371	0	360
75.0	370	0	371
76.0	350	0	334
77.0	318	0	290
78.0	301	0	311
79.0	299	0	278
80.0	262	0	305
81.0	327	0	309
82.0	280	0	265
83.0	285	0	293
84.0	276	0	255
85.0	256	0	254
86.0	244	0	246
87.0	236	0	234
88.0	204	0	218
89.0	239	0	230
90.0	233	0	212
91.0	237	0	215
92.0	170	0	192
93.0	216	0	226
94.0	203	0	185
