## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[C4_R2.sorted.bam] OUTPUT=C4_R2.mLb.mkD.sorted.bam METRICS_FILE=C4_R2.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:24:22 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C4_R2_T1	39367	19518489	0	811463	18370	4808143	187264	0.24656	33696091
C4_R2_T2	41570	16552428	0	583708	17511	3904792	169783	0.236137	30230870

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	22551492	0	22782555
2.0	3649960	340744	3496265
3.0	661081	7625	603279
4.0	176603	307	162998
5.0	79050	21	76116
6.0	49426	3	48446
7.0	34611	2	34175
8.0	25800	3	25595
9.0	19719	0	19434
10.0	15507	0	15385
11.0	12521	0	12413
12.0	10173	0	10077
13.0	8409	0	8341
14.0	6977	0	6871
15.0	5914	0	5886
16.0	5253	0	5151
17.0	4481	0	4477
18.0	3865	0	3819
19.0	3346	0	3294
20.0	3033	0	3012
21.0	2529	0	2463
22.0	2265	0	2285
23.0	2017	0	1989
24.0	1865	0	1860
25.0	1705	0	1666
26.0	1483	0	1484
27.0	1333	0	1317
28.0	1199	0	1169
29.0	1133	0	1133
30.0	991	0	973
31.0	915	0	914
32.0	845	0	855
33.0	804	0	758
34.0	683	0	673
35.0	645	0	654
36.0	607	0	596
37.0	585	0	595
38.0	523	0	482
39.0	468	0	472
40.0	420	0	402
41.0	379	0	405
42.0	409	0	373
43.0	360	0	374
44.0	319	0	327
45.0	337	0	329
46.0	314	0	295
47.0	254	0	258
48.0	246	0	242
49.0	261	0	248
50.0	220	0	215
51.0	204	0	217
52.0	207	0	217
53.0	214	0	189
54.0	176	0	169
55.0	155	0	158
56.0	143	0	158
57.0	170	0	151
58.0	142	0	146
59.0	142	0	135
60.0	130	0	134
61.0	116	0	110
62.0	112	0	106
63.0	114	0	115
64.0	109	0	109
65.0	97	0	90
66.0	86	0	78
67.0	75	0	95
68.0	92	0	86
69.0	93	0	90
70.0	80	0	84
71.0	91	0	86
72.0	73	0	66
73.0	70	0	73
74.0	56	0	54
75.0	64	0	57
76.0	46	0	59
77.0	62	0	54
78.0	57	0	49
79.0	47	0	55
80.0	56	0	51
81.0	38	0	38
82.0	42	0	47
83.0	36	0	31
84.0	39	0	47
85.0	46	0	38
86.0	51	0	45
87.0	33	0	29
88.0	37	0	44
89.0	32	0	26
90.0	20	0	17
91.0	20	0	25
92.0	25	0	23
93.0	28	0	33
94.0	25	0	19
95.0	36	0	40
96.0	23	0	22
97.0	24	0	27
98.0	25	0	18
