## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[C0_R2.sorted.bam] OUTPUT=C0_R2.mLb.mkD.sorted.bam METRICS_FILE=C0_R2.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:33:44 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C0_R2_T1	93410	33569128	0	1688962	47607	9343959	384033	0.278671	49806901
C0_R2_T2	117174	33044624	0	1430900	57144	9162475	428345	0.277648	49458172

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	38176996	0	38666830
2.0	7426612	763773	7123685
3.0	1486592	22112	1353225
4.0	384354	1186	347837
5.0	156999	129	147968
6.0	92770	29	90096
7.0	64244	12	63181
8.0	48323	1	47557
9.0	37739	2	37259
10.0	29994	0	29691
11.0	24589	1	24166
12.0	20197	0	20004
13.0	16995	0	16682
14.0	14207	0	14163
15.0	12256	0	12110
16.0	10478	0	10325
17.0	9318	0	9222
18.0	7955	1	7800
19.0	7027	0	6995
20.0	6334	0	6230
21.0	5710	0	5658
22.0	5087	0	4981
23.0	4536	0	4530
24.0	4043	0	3936
25.0	3751	0	3678
26.0	3152	0	3087
27.0	2928	0	2943
28.0	2737	0	2719
29.0	2539	0	2508
30.0	2302	0	2276
31.0	2154	0	2122
32.0	2007	0	1936
33.0	1811	0	1768
34.0	1657	0	1642
35.0	1467	0	1485
36.0	1429	0	1388
37.0	1336	0	1321
38.0	1272	0	1258
39.0	1152	0	1163
40.0	1147	0	1120
41.0	1080	1	1024
42.0	920	0	935
43.0	915	0	913
44.0	841	0	816
45.0	726	0	715
46.0	756	0	726
47.0	693	0	687
48.0	620	0	630
49.0	632	0	625
50.0	578	0	575
51.0	574	0	558
52.0	515	0	481
53.0	464	0	484
54.0	468	0	481
55.0	454	0	434
56.0	399	0	381
57.0	414	0	402
58.0	380	0	391
59.0	378	0	392
60.0	343	0	323
61.0	329	0	294
62.0	296	0	290
63.0	286	0	310
64.0	295	0	301
65.0	312	0	279
66.0	234	0	232
67.0	255	0	244
68.0	232	0	239
69.0	213	0	206
70.0	202	0	199
71.0	204	0	203
72.0	205	0	203
73.0	177	0	186
74.0	188	0	192
75.0	198	0	185
76.0	157	0	164
77.0	181	0	168
78.0	156	0	136
79.0	140	0	140
80.0	144	0	156
81.0	164	0	152
82.0	116	0	115
83.0	128	0	113
84.0	109	0	111
85.0	106	0	120
86.0	115	0	119
87.0	127	0	118
88.0	105	0	102
89.0	103	0	103
90.0	99	0	101
91.0	105	0	92
92.0	87	0	91
93.0	93	0	87
94.0	77	0	75
95.0	95	0	94
96.0	86	0	82
97.0	73	0	76
98.0	82	0	93
99.0	84	0	71
100.0	82	0	68
101.0	66	0	70
102.0	55	0	56
103.0	65	0	77
104.0	61	0	54
105.0	67	0	63
106.0	51	0	41
107.0	61	0	74
108.0	60	0	66
109.0	56	0	52
110.0	52	0	45
111.0	51	0	44
112.0	46	0	40
113.0	44	0	47
114.0	41	0	34
115.0	28	0	41
116.0	37	0	35
117.0	44	0	36
118.0	31	0	32
119.0	33	0	30
120.0	39	0	36
121.0	29	0	29
122.0	29	0	29
123.0	29	0	27
124.0	31	0	33
125.0	26	0	25
126.0	25	0	20
127.0	23	0	33
128.0	34	0	30
129.0	26	0	29
130.0	32	0	30
131.0	24	0	31
132.0	23	0	22
133.0	34	0	31
134.0	30	0	27
135.0	38	0	32
136.0	19	0	18
137.0	20	0	22
138.0	21	0	21
139.0	22	0	19
140.0	19	0	24
141.0	24	0	29
142.0	24	0	14
143.0	20	0	13
144.0	16	0	14
145.0	18	0	15
146.0	6	0	16
147.0	10	0	16
148.0	17	0	14
149.0	19	0	22
150.0	22	0	20
151.0	14	0	14
152.0	15	0	13
153.0	20	0	11
154.0	14	0	16
155.0	9	0	10
156.0	16	0	15
157.0	15	0	21
158.0	12	0	15
159.0	17	0	9
160.0	10	0	17
161.0	17	0	10
162.0	11	0	8
163.0	13	0	12
164.0	9	0	12
165.0	9	0	8
166.0	9	0	8
167.0	10	0	10
168.0	10	0	13
169.0	10	0	13
170.0	7	0	8
171.0	14	0	12
172.0	16	0	9
173.0	4	0	7
174.0	10	0	14
175.0	11	0	8
176.0	10	0	11
177.0	15	0	12
178.0	11	0	12
179.0	7	0	8
180.0	8	0	5
181.0	4	0	12
182.0	14	0	5
183.0	6	0	10
184.0	7	0	5
185.0	9	0	8
186.0	4	0	4
187.0	8	0	10
188.0	8	0	7
189.0	9	0	9
190.0	7	0	8
191.0	7	0	10
192.0	11	0	13
193.0	13	0	3
194.0	0	0	4
195.0	8	0	8
196.0	5	0	5
197.0	6	0	6
198.0	6	0	6
199.0	9	0	5
200.0	8	0	4
201.0	3	0	7
202.0	4	0	4
203.0	6	0	3
204.0	6	0	9
205.0	3	0	5
206.0	5	0	10
207.0	8	0	5
208.0	8	0	9
209.0	9	0	2
210.0	4	0	6
211.0	2	0	3
212.0	3	0	2
213.0	4	0	6
214.0	5	0	3
215.0	4	0	6
216.0	5	0	6
217.0	3	0	4
218.0	7	0	2
219.0	7	0	4
220.0	6	0	5
221.0	2	0	6
222.0	3	0	4
223.0	2	0	6
224.0	8	0	2
225.0	5	0	3
226.0	3	0	2
227.0	2	0	4
228.0	2	0	0
229.0	1	0	5
230.0	2	0	4
231.0	5	0	0
232.0	2	0	6
233.0	4	0	3
234.0	4	0	2
235.0	2	0	3
236.0	6	0	4
237.0	0	0	1
238.0	3	0	4
239.0	1	0	7
240.0	6	0	1
241.0	3	0	2
242.0	4	0	0
243.0	1	0	5
244.0	3	0	2
245.0	3	0	3
246.0	3	0	3
247.0	4	0	3
248.0	2	0	0
249.0	0	0	1
250.0	2	0	4
251.0	1	0	0
252.0	1	0	0
253.0	1	0	3
254.0	2	0	2
255.0	1	0	3
256.0	3	0	0
257.0	1	0	1
258.0	2	0	0
259.0	0	0	2
260.0	0	0	3
261.0	5	0	2
262.0	2	0	0
264.0	1	0	2
265.0	0	0	1
266.0	2	0	2
267.0	3	0	3
268.0	1	0	0
269.0	2	0	1
270.0	1	0	2
271.0	1	0	0
272.0	1	0	0
273.0	0	0	3
274.0	3	0	3
275.0	3	0	3
276.0	2	0	2
277.0	2	0	2
278.0	1	0	1
279.0	1	0	0
280.0	2	0	2
281.0	1	0	0
282.0	0	0	1
283.0	2	0	2
284.0	1	0	5
285.0	2	0	2
286.0	1	0	1
287.0	2	0	2
288.0	2	0	1
289.0	2	0	1
290.0	3	0	3
291.0	1	0	0
292.0	2	0	0
293.0	1	0	1
294.0	1	0	1
295.0	0	0	1
296.0	2	0	1
297.0	0	0	1
298.0	1	0	0
299.0	1	0	0
301.0	0	0	2
302.0	1	0	1
303.0	2	0	2
306.0	1	0	0
307.0	1	0	1
308.0	0	0	1
310.0	2	0	1
311.0	1	0	0
312.0	0	0	1
315.0	1	0	0
316.0	0	0	1
318.0	1	0	0
319.0	0	0	1
320.0	0	0	1
321.0	1	0	0
322.0	2	0	1
326.0	0	0	2
327.0	2	0	0
328.0	0	0	1
329.0	0	0	1
330.0	1	0	0
331.0	1	0	2
332.0	2	0	2
334.0	1	0	2
335.0	2	0	1
336.0	1	0	0
342.0	1	0	0
343.0	0	0	1
344.0	1	0	1
345.0	1	0	0
347.0	0	0	2
349.0	2	0	1
351.0	1	0	1
354.0	1	0	0
356.0	0	0	2
358.0	1	0	1
359.0	1	0	0
361.0	1	0	0
362.0	1	0	1
364.0	0	0	1
367.0	1	0	0
375.0	0	0	1
378.0	1	0	0
379.0	0	0	1
382.0	0	0	1
383.0	1	0	0
384.0	1	0	0
391.0	0	0	1
392.0	0	0	1
394.0	2	0	0
407.0	0	0	1
410.0	0	0	1
413.0	2	0	0
416.0	0	0	1
420.0	1	0	0
432.0	0	0	1
433.0	1	0	0
438.0	0	0	1
442.0	1	0	0
443.0	0	0	1
447.0	1	0	0
454.0	0	0	1
458.0	1	0	0
467.0	0	0	1
468.0	0	0	1
469.0	1	0	0
470.0	0	0	2
471.0	1	0	0
472.0	1	0	0
474.0	1	0	0
487.0	0	0	1
488.0	0	0	1
489.0	0	0	1
490.0	1	0	1
492.0	1	0	1
493.0	0	0	1
494.0	1	0	0
497.0	2	0	0
498.0	0	0	1
499.0	1	0	0
500.0	1	0	0
502.0	1	0	1
525.0	0	0	1
531.0	1	0	0
539.0	0	0	1
544.0	1	0	0
558.0	0	0	1
562.0	1	0	0
666.0	1	0	1
691.0	0	0	1
695.0	1	0	0
820.0	0	0	1
822.0	1	0	0
896.0	0	0	1
902.0	1	0	0
934.0	0	0	1
938.0	1	0	0
1499.0	0	0	1
1502.0	1	0	0
1624.0	0	0	1
1627.0	1	0	0
2420.0	0	0	1
2421.0	1	0	0
6092.0	0	0	1
6109.0	1	0	0
9585.0	0	0	1
9625.0	1	0	0

