## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[IK0_R1.sorted.bam] OUTPUT=IK0_R1.mLb.mkD.sorted.bam METRICS_FILE=IK0_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:30:06 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IK0_R1_T1	107626	33898896	0	1553996	45113	12494663	432357	0.368666	34429076
IK0_R1_T2	49505	25946915	0	1366627	23007	9373591	270031	0.361359	27020072

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	29817997	0	30205536
2.0	5832482	640966	5595773
3.0	1197153	24307	1089491
4.0	334226	2440	305310
5.0	152845	589	145788
6.0	98370	203	96557
7.0	72273	77	71273
8.0	56409	45	55871
9.0	45819	17	45367
10.0	37791	11	37565
11.0	31489	9	31134
12.0	26742	0	26540
13.0	22831	2	22680
14.0	19863	1	19711
15.0	17706	1	17517
16.0	15708	2	15557
17.0	13583	0	13497
18.0	12407	1	12295
19.0	10947	0	10816
20.0	9898	0	9847
21.0	8998	2	8927
22.0	8089	0	7964
23.0	7458	0	7398
24.0	6818	0	6751
25.0	6233	0	6169
26.0	5796	0	5708
27.0	5362	0	5370
28.0	5030	0	5015
29.0	4635	0	4551
30.0	4300	0	4280
31.0	3988	0	3991
32.0	3703	0	3541
33.0	3392	0	3403
34.0	3195	0	3229
35.0	3147	0	3064
36.0	2789	0	2776
37.0	2650	0	2688
38.0	2581	0	2498
39.0	2358	0	2313
40.0	2225	0	2209
41.0	2026	0	2032
42.0	2067	0	2043
43.0	1926	0	1882
44.0	1832	0	1836
45.0	1771	0	1707
46.0	1585	1	1567
47.0	1527	0	1557
48.0	1506	0	1496
49.0	1448	0	1394
50.0	1328	0	1330
51.0	1309	0	1318
52.0	1244	0	1242
53.0	1207	0	1196
54.0	1079	0	1057
55.0	1090	0	1050
56.0	1000	0	1016
57.0	988	0	986
58.0	956	0	931
59.0	906	1	890
60.0	884	0	831
61.0	875	0	901
62.0	843	0	844
63.0	733	0	729
64.0	758	0	734
65.0	746	0	752
66.0	701	0	706
67.0	730	0	667
68.0	614	0	625
69.0	610	0	613
70.0	594	0	569
71.0	581	0	607
72.0	551	0	533
73.0	551	0	518
74.0	486	0	491
75.0	479	0	483
76.0	504	0	475
77.0	472	0	490
78.0	448	0	442
79.0	486	0	463
80.0	404	0	419
81.0	411	0	396
82.0	392	0	413
83.0	375	0	369
84.0	374	0	375
85.0	380	0	388
86.0	375	0	334
87.0	343	0	328
88.0	356	0	377
89.0	304	0	314
90.0	334	0	297
91.0	313	0	328
92.0	304	0	296
93.0	294	0	288
94.0	292	0	270
95.0	248	0	265
96.0	261	0	269
97.0	266	0	257
98.0	266	0	276
99.0	248	0	233
100.0	269	0	247
101.0	225	0	225
102.0	223	0	219
103.0	226	0	226
104.0	224	0	215
105.0	174	0	196
106.0	211	0	193
107.0	184	0	177
108.0	176	0	190
109.0	201	0	187
110.0	181	1	177
111.0	180	0	180
112.0	176	0	188
113.0	198	0	184
114.0	173	0	163
115.0	166	0	158
116.0	166	0	160
117.0	145	0	166
118.0	152	0	149
119.0	168	0	150
120.0	138	0	128
121.0	141	0	140
122.0	138	0	162
123.0	151	0	135
124.0	133	0	140
125.0	140	0	128
126.0	124	0	118
127.0	129	0	108
128.0	104	0	117
129.0	105	0	123
130.0	128	0	134
131.0	119	0	98
132.0	113	0	104
133.0	104	0	108
134.0	105	0	102
135.0	102	0	101
136.0	103	0	108
137.0	106	0	92
138.0	93	0	107
139.0	102	0	103
140.0	87	0	87
141.0	103	0	91
142.0	83	0	92
143.0	92	0	77
144.0	77	0	95
145.0	95	0	93
146.0	93	0	65
147.0	72	0	83
148.0	77	0	75
149.0	79	0	87
150.0	75	0	65
151.0	74	0	98
152.0	88	0	73
153.0	81	0	70
154.0	70	0	73
155.0	68	0	70
156.0	77	0	69
