## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[C0_R1.sorted.bam] OUTPUT=C0_R1.mLb.mkD.sorted.bam METRICS_FILE=C0_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:30:06 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C0_R1_T1	59465	31786129	0	1118193	28263	8729712	311721	0.274827	47799831
C0_R1_T2	80616	26319874	0	1194472	32356	9516410	302042	0.361628	27419851

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	32319174	0	32687797
2.0	5559303	570206	5317711
3.0	1026958	18470	933429
4.0	279827	1489	257002
5.0	131917	292	126767
6.0	86243	88	84744
7.0	64034	35	63341
8.0	49906	15	49574
9.0	39796	8	39468
10.0	32729	4	32403
11.0	26995	0	26788
12.0	22886	0	22708
13.0	19450	0	19212
14.0	16615	0	16624
15.0	14881	1	14705
16.0	13015	1	12916
17.0	11323	0	11179
18.0	10043	1	9976
19.0	8967	0	8954
20.0	8275	0	8167
21.0	7165	0	7127
22.0	6792	0	6703
23.0	5980	0	5961
24.0	5573	0	5499
25.0	5103	0	5035
26.0	4590	0	4628
27.0	4325	0	4261
28.0	3918	0	3860
29.0	3549	0	3503
30.0	3443	0	3414
31.0	3204	0	3179
32.0	2953	0	2913
33.0	2744	0	2718
34.0	2509	0	2548
35.0	2474	1	2416
36.0	2259	0	2203
37.0	2068	0	2087
38.0	2074	0	2053
39.0	1900	0	1895
40.0	1791	0	1796
41.0	1666	0	1613
42.0	1537	0	1514
43.0	1492	0	1505
44.0	1407	0	1327
45.0	1272	0	1310
46.0	1317	0	1324
47.0	1193	0	1159
48.0	1164	1	1145
49.0	1133	0	1109
50.0	993	0	1009
51.0	999	0	987
52.0	882	0	893
53.0	891	0	888
54.0	920	0	903
55.0	828	0	818
56.0	792	0	765
57.0	742	0	750
58.0	757	0	733
59.0	703	0	720
60.0	682	0	669
61.0	672	0	637
62.0	588	0	592
63.0	587	0	587
64.0	537	0	555
65.0	536	0	534
66.0	574	0	523
67.0	508	0	529
68.0	494	0	479
69.0	477	0	467
70.0	468	0	478
71.0	436	0	387
72.0	412	0	427
73.0	370	0	380
74.0	397	0	382
75.0	385	0	385
76.0	347	0	343
77.0	358	0	354
78.0	335	0	330
79.0	321	0	335
80.0	323	0	310
81.0	323	0	320
82.0	313	0	306
83.0	288	0	290
84.0	279	0	296
85.0	298	0	274
86.0	267	0	275
87.0	265	0	240
88.0	228	0	242
89.0	217	0	202
90.0	214	0	210
91.0	194	0	189
92.0	227	0	219
93.0	214	0	206
94.0	188	0	214
