## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[IK1_R1.sorted.bam] OUTPUT=IK1_R1.mLb.mkD.sorted.bam METRICS_FILE=IK1_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:28:44 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IK1_R1_T1	99888	25462476	0	1195134	32670	6083850	323348	0.239106	46108170
IK1_R1_T2	41720	24931080	0	1624826	16645	5623265	274316	0.225697	48273083

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	31662037	0	32054047
2.0	5521315	564747	5264685
3.0	957066	15114	854059
4.0	215503	650	191744
5.0	83654	41	78697
6.0	49570	8	48308
7.0	34188	2	33719
8.0	25945	2	25604
9.0	19916	1	19701
10.0	15760	0	15550
11.0	12783	1	12637
12.0	10489	1	10403
13.0	8697	0	8605
14.0	7343	0	7302
15.0	6207	0	6156
16.0	5432	0	5331
17.0	4642	0	4624
18.0	3984	0	3867
19.0	3476	0	3503
20.0	3243	0	3164
21.0	2797	0	2768
22.0	2465	0	2401
23.0	2251	0	2266
24.0	1995	0	1973
25.0	1876	1	1837
26.0	1624	0	1640
27.0	1486	0	1426
28.0	1317	0	1326
29.0	1238	0	1205
30.0	1121	1	1108
31.0	1044	0	1024
32.0	935	0	960
33.0	884	0	862
34.0	834	0	819
35.0	795	2	790
36.0	687	0	685
37.0	659	0	620
38.0	596	0	600
39.0	576	0	554
40.0	495	0	494
41.0	467	0	475
42.0	456	0	462
43.0	459	0	446
44.0	400	0	403
45.0	359	0	341
46.0	366	0	339
47.0	297	0	322
48.0	290	0	272
49.0	284	0	276
50.0	255	0	243
51.0	254	0	258
52.0	248	0	244
53.0	235	0	240
54.0	233	0	225
55.0	204	0	195
56.0	185	0	193
57.0	206	0	197
58.0	141	0	147
59.0	158	0	163
60.0	161	0	166
61.0	161	1	142
62.0	168	0	144
63.0	123	0	144
64.0	144	0	133
65.0	114	0	119
66.0	116	0	131
67.0	119	0	94
68.0	108	0	110
69.0	95	0	99
70.0	102	0	97
71.0	84	0	73
72.0	88	0	83
73.0	67	0	76
74.0	82	0	77
75.0	71	0	77
76.0	75	0	71
77.0	82	0	73
78.0	68	0	65
79.0	52	0	62
80.0	65	0	65
81.0	66	0	59
82.0	72	0	73
83.0	57	0	55
84.0	43	0	43
85.0	48	0	46
86.0	40	0	48
87.0	51	0	42
88.0	51	0	51
89.0	46	0	38
90.0	35	0	39
91.0	43	0	43
92.0	35	0	32
93.0	31	0	33
94.0	45	0	47
95.0	46	0	41
96.0	37	0	30
97.0	29	0	24
98.0	21	0	25
